name,address,postcode,city,hint,ID_Map,bezirk,bezirk_id,lfdnr,label_placement,diff,comment,contact,intern comment,status,types,url,,id,lat,lon
"Gleisbeet","Helsingforser Str. 11-13","10243","Berlin","","38","Friedrichshain","1","1","2","1.0,-4.0","","","","Laufend","","http://www.gleisbeet.de/","","44",13.4453558846558,52.5099776456387
"Laskerwiese","Laskerstr. 8","10245","Berlin","","69","Friedrichshain","2","2","2","1.0,-4.0","","","","Laufend","","http://laskerwiese.blogspot.com/","","11",13.466291,52.501077
"MenschenskinderGarten","Fürstenwalder Str. 25","10243","Berlin","Zu erreichen ist der Garten über das Familienzentrum Menschenskinder","75","Friedrichshain","3","3","2","1.0,-4.0","","Tel. 030-54594906","","Laufend","","http://www.menschenskinder-berlin.eu/nachbarschaftsgarten/","","332",13.4311571109756,52.519944290068
"Mörchenpark","Holzmarktstr. 30","10243","Berlin","","77","Friedrichshain","4","4","2","1.0,-4.0","","","","Laufend","","http://moerchenpark.de","","322",13.4277273,52.5112641
"Rosa Rose","Jessnerstr. 3","10247","Berlin","Zugang über Jessnerstrasse 3 und 13","81","Friedrichshain","5","5","2","1.0,-4.0","","","","Laufend","","http://www.rosarose-garten.net","","7",13.4742347087372,52.5132859338978
"Spreeacker","Wilhelmine-Gemberg-Weg 10-14","10179","Berlin","","98","Friedrichshain","6","6","3","-4.0,-7.0","","Spreeacker e.V.","","Laufend","","","","333",13.4247456118477,52.5108384830799
"Gartenland am Beerenpfuhl","Tangermünder Str. 26-28","12627","Berlin","","24","Hellersdorf","1","7","2","1.0,-4.0","","","","Laufend","","http://www.helle-promenade.de/236.0.html","","354",13.6071363281724,52.5440157550073
"Gemeinschaftsgarten im Gut Hellersdorf","Alt Hellersdorf 17","12629","Berlin","","29","Hellersdorf","2","8","2","1.0,-4.0","","gartenbau@prinzessinnengarten.net","","laufend","","https://guthellersdorf.net/ueber/","","",13.5944514,52.5389044
"Generationengarten Pestalozzi-Treff","Pestalozzistr. 1a","12623","Berlin","","37","Hellersdorf","3","9","2","1.0,-4.0","","Tel: (030) 56 58 69 20","","Laufend","","https://www.hilfelotse-berlin.de/detail/db/berlin/Stadtteilzentrum-Pestalozzi-Treff/aid/28320/","","77",13.614299528836,52.510175960196
"Helle Oase","Tangermünder Str. 127-129","12627","Berlin","","40","Hellersdorf","4","10","2","1.0,-4.0","","kontakt@helle-oase.de,","der ist eigentlich nicht neu, tauchte aber in der Bestandstabelle nicht auf, habt Rückmeldung bekommen, sind noch da!","laufend","","https://helleoase.wordpress.com/","","",13.6087,52.538829
"Interkultureller Garten Berlin-Lichtenberg","Liebenwalder Str. 12-18","13055","Berlin","","46","Hohenschönhausen","1","11","2","1.0,-4.0","","","","Laufend","","http://www.interkulturellergarten.de ; http://www.sozdia.de/UmweltKontaktstelle.1327.0.html","","18",13.5010002,52.5364398
"Wir ernten was wir säen","Wiecker Str. 8-10","13051","Berlin","Hohenschönhausen-Nord, Ostseeviertel","23","Hohenschönhausen","2","12","2","1.0,-4.0","","garteninitiative@sozdia.de","","Laufend","","http://www.sozdia.de/Garteninitiative.914.0.html","","56",13.4959042736801,52.5686330754756
"Bunte Beete","Zeughofstr. 24","10997","Berlin","","7","Kreuzberg","1","13","2","0.0,-9.0","","","","Laufend","","http://buntebeete.wordpress.com/","","13",13.4358366,52.5014849
"G13 Familienurwald","Glogauer Str. 13","10999","Berlin","","17","Kreuzberg","2","14","5","1.0,-3.0","","d.leinenbach@gmx.net","","Laufend","","http://glogauer13.wordpress.com/","","329",13.4360363816147,52.4923093291201
"Garten der GraefeKids","Hasenheide 44","10967","Berlin","","18","Kreuzberg","3","15","3","-4.0,-2.0","","Kontakt: GrafeKids,  Tel.: 680 75 375 ab ca. 14:00 Uhr erreichbar oder per mail: graefe-kids@nachbarschaftshaus.de","","Laufend","","","","58",13.4170275509262,52.4901492415328
"Gemeinschaftsgarten im KGK POG Potsdamer Güterbahnhof","Park am Gleisdreieck/Eingang Bülowstr.","10963","Berlin","","31","Kreuzberg","4","16","2","1.0,-4.0","","","","Laufend","","https://gruen-berlin.de/gleisdreieck/angebote/gaerten-im-garten","","326",13.3687491217041,52.4966758960629
"Gemeinschaftsgarten Ohlauer Straße 22","Ohlauer Str. 22","10999","Berlin","","32","Kreuzberg","5","17","0","-4.0,-5.0","","Kevin.Eggebrecht@johanniter.de","","laufend","","","","",13.43043,52.49601
"Generationengarten Begegnungsstätte Falckensteinstraße","Falckensteinstr. 6","10997","Berlin","","34","Kreuzberg","6","18","2","1.0,-5.0","","","","Laufend","","http://www.falckensteinstrasse.de/garten.htm","","71",13.44256,52.49955
"Generationengarten Kiezanker 36","Cuvrystr. 13/14","10997","Berlin","","36","Kreuzberg","7","19","5","1.0,-3.0","","Tel: 22502401","","Laufend","","","","75",13.4437725079346,52.49879021348
"Interkulturelle Garten-AG","Mehringdamm 114","10965","Berlin","im Familienzentrum","43","Kreuzberg","8","20","2","1.0,-4.0","","jeanine.fornacon@googlemail.com,","","Laufend","","","","337",13.385223151451,52.4866658337289
"Interkultureller Garten auf dem Kinderbauernhof","Wiener Str. 59b","10999","Berlin","im Görlitzer Park","45","Kreuzberg","9","21","5","1.0,-3.0","","Tel: 030/69 53 52 93 , Claudia Hiesl","","Laufend","","","","15",13.4378234,52.4957523
"Interkultureller Kiez-Garten","Friedrichstr. 2","10969","Berlin","am Mehringplatz","56","Kreuzberg","10","22","2","1.0,-4.0","","","","Laufend","","","","338",13.391777772415,52.4999369190649
"Prinzessinnengarten","Prinzenstr. 35-38","10969","Berlin","Moritzplatz","92","Kreuzberg","11","23","2","1.0,-4.0","","","","Laufend","","http://prinzessinnengarten.net/","","9",13.4112125289749,52.503034678951
"Rosenduft","Möckernstr./Hornstr.","10963","Berlin","Eingang in den Park am Gleisdreieck","94","Kreuzberg","12","24","2","1.0,-4.0","","","","Laufend","","http://www.suedost-ev.de/interkultureller_garten/interkultureller_garten.php","","17",13.3785937936401,52.4949150143333
"Ton Steine Gärten","Bethaniendamm 26","10997","Berlin","","102","Kreuzberg","13","25","2","1.0,-4.0","","","","Laufend","","http://gaerten-am-mariannenplatz.blogspot.com/","","16",13.423824,52.505077
"Urbangarten","Graefestr. 61a","10967","Berlin","","107","Kreuzberg","14","26","0","-4.0,-5.0","","","Ansprechpartnerin ist Inga Selck, Fläche gehört dem BA","laufend","","https://www.facebook.com/pg/UrbangartenKreuzberg/about/?ref=page_internal","","",13.416708,52.490007
"Alfreds Garten","Alfred-Randt-Str. 11","12559","Berlin","","2","Köpenick","1","27","0","-4.0,0.0","","","von Sonja Himmelbeet","laufend","","http://himmelbeet.de/aktuelle-projekte/alfreds-garten-in-koepenick/","","",13.5990562,52.4389729
"Garten der Hoffnung / Bustan-ul-amal","Alfred-Randt-Str. 19","12559","Berlin","","19","Köpenick","2","28","2","1.0,-4.0","","","","Laufend","","http://www.garten-der-hoffnung.net","","306",13.60458,52.440282
"Interkultureller Schulgarten Oberschöneweide","Kottmeierstr. 2","12459","Berlin","","57","Köpenick","3","29","2","1.0,-4.0","","","","Laufend","","","","25",13.5243884834671,52.4626830736898
"Lichtgarten","Alter Markt 6","12555","Berlin","","72","Köpenick","4","30","2","1.0,-8.0","","NadinFreitag@gmx.de","angeschrieben 04.12. Kontakt kam sehr spät rein","","","https://lichtgarten.blogger.de/","","",13.578858,52.446142
"Nachbarschaftsgarten Haus Müggelspree","Am Schloßberg 1","12559","Berlin","","80","Köpenick","5","31","2","1.0,-4.0","","mueggelspree@stephanus.org, Tel. 030 34 35 41 0","","laufend","","http://www.stephanus.org/standorte/haus-mueggelspree-in-berlin-koepenick/startseite/","","",13.584299,52.443557
